config filename: ./config.json
load_embedding!
loading ./data/nyt/seq2seq_re/train.json
data size 56195
loading ./data/nyt/seq2seq_re/test.json
data size 5000
epoch 1 	 loss: 8.159961 	 F1: 0.378664 	 P: 0.427133 	 R: 0.340074
epoch 2 	 loss: 7.151109 	 F1: 0.398215 	 P: 0.440983 	 R: 0.363009
epoch 3 	 loss: 6.837544 	 F1: 0.423066 	 P: 0.476521 	 R: 0.380395
epoch 4 	 loss: 6.003480 	 F1: 0.443923 	 P: 0.504553 	 R: 0.396301
epoch 5 	 loss: 5.618795 	 F1: 0.448870 	 P: 0.508747 	 R: 0.401603
epoch 6 	 loss: 5.252195 	 F1: 0.446332 	 P: 0.496974 	 R: 0.405055
epoch 7 	 loss: 4.600620 	 F1: 0.444929 	 P: 0.496657 	 R: 0.402959
epoch 8 	 loss: 5.497231 	 F1: 0.447975 	 P: 0.495884 	 R: 0.408508
epoch 9 	 loss: 4.356013 	 F1: 0.460146 	 P: 0.504187 	 R: 0.423181
epoch 10 	 loss: 4.093304 	 F1: 0.451009 	 P: 0.492411 	 R: 0.416030
epoch 11 	 loss: 5.596871 	 F1: 0.454936 	 P: 0.498677 	 R: 0.418249
epoch 12 	 loss: 3.904494 	 F1: 0.453522 	 P: 0.493403 	 R: 0.419605
epoch 13 	 loss: 3.589585 	 F1: 0.452272 	 P: 0.489447 	 R: 0.420345
epoch 14 	 loss: 4.922723 	 F1: 0.454497 	 P: 0.497798 	 R: 0.418126
epoch 15 	 loss: 3.781409 	 F1: 0.456852 	 P: 0.499780 	 R: 0.420715
epoch 16 	 loss: 4.774322 	 F1: 0.455779 	 P: 0.497737 	 R: 0.420345
epoch 17 	 loss: 3.779347 	 F1: 0.442643 	 P: 0.475308 	 R: 0.414180
epoch 18 	 loss: 3.486942 	 F1: 0.453167 	 P: 0.492054 	 R: 0.419975
epoch 19 	 loss: 3.485844 	 F1: 0.448185 	 P: 0.482244 	 R: 0.418619
epoch 20 	 loss: 4.026734 	 F1: 0.451480 	 P: 0.488930 	 R: 0.419359
epoch 21 	 loss: 4.211091 	 F1: 0.435976 	 P: 0.471338 	 R: 0.405549
epoch 22 	 loss: 4.908932 	 F1: 0.440362 	 P: 0.474441 	 R: 0.410851
epoch 23 	 loss: 4.336679 	 F1: 0.442506 	 P: 0.476787 	 R: 0.412824
epoch 24 	 loss: 5.151476 	 F1: 0.441017 	 P: 0.480856 	 R: 0.407275
epoch 25 	 loss: 4.181086 	 F1: 0.443245 	 P: 0.482373 	 R: 0.409988
epoch 26 	 loss: 4.379936 	 F1: 0.425645 	 P: 0.463730 	 R: 0.393342
epoch 27 	 loss: 5.034402 	 F1: 0.427164 	 P: 0.464255 	 R: 0.395561
epoch 28 	 loss: 4.522413 	 F1: 0.422659 	 P: 0.453096 	 R: 0.396054
epoch 29 	 loss: 4.873893 	 F1: 0.425671 	 P: 0.464307 	 R: 0.392972
epoch 30 	 loss: 6.016625 	 F1: 0.419608 	 P: 0.456257 	 R: 0.388409
epoch 31 	 loss: 6.188897 	 F1: 0.412908 	 P: 0.450634 	 R: 0.381011
epoch 32 	 loss: 5.394324 	 F1: 0.410126 	 P: 0.450243 	 R: 0.376572
epoch 33 	 loss: 4.979404 	 F1: 0.399226 	 P: 0.434947 	 R: 0.368927
epoch 34 	 loss: 6.458302 	 F1: 0.387645 	 P: 0.420158 	 R: 0.359803
epoch 35 	 loss: 6.306127 	 F1: 0.376701 	 P: 0.410439 	 R: 0.348089
epoch 36 	 loss: 5.693573 	 F1: 0.363163 	 P: 0.395782 	 R: 0.335512
epoch 37 	 loss: 6.932724 	 F1: 0.353265 	 P: 0.388102 	 R: 0.324168
epoch 38 	 loss: 6.917427 	 F1: 0.342964 	 P: 0.372685 	 R: 0.317633
epoch 39 	 loss: 6.755898 	 F1: 0.346385 	 P: 0.378063 	 R: 0.319605
epoch 40 	 loss: 6.743892 	 F1: 0.335206 	 P: 0.366267 	 R: 0.309001
epoch 41 	 loss: 7.866361 	 F1: 0.340203 	 P: 0.373361 	 R: 0.312454
epoch 42 	 loss: 6.316000 	 F1: 0.340025 	 P: 0.370333 	 R: 0.314303
epoch 43 	 loss: 6.346808 	 F1: 0.339116 	 P: 0.376467 	 R: 0.308508
epoch 44 	 loss: 6.982523 	 F1: 0.345351 	 P: 0.383389 	 R: 0.314180
epoch 45 	 loss: 7.298602 	 F1: 0.333644 	 P: 0.362899 	 R: 0.308755
epoch 46 	 loss: 6.693869 	 F1: 0.331926 	 P: 0.363463 	 R: 0.305425
epoch 47 	 loss: 7.081630 	 F1: 0.328778 	 P: 0.359930 	 R: 0.302589
epoch 48 	 loss: 6.662050 	 F1: 0.326520 	 P: 0.360495 	 R: 0.298397
epoch 49 	 loss: 6.061616 	 F1: 0.318037 	 P: 0.351877 	 R: 0.290136
epoch 50 	 loss: 6.950984 	 F1: 0.316456 	 P: 0.348561 	 R: 0.289766
epoch 51 	 loss: 7.046524 	 F1: 0.317160 	 P: 0.347961 	 R: 0.291369
