config filename: ./config.json
load_embedding!
loading ./data/nyt/seq2seq_re/train.json
data size 56195
loading ./data/nyt/seq2seq_re/test.json
data size 5000
epoch 1 	 loss: 7.895340 	 F1: 0.421540 	 P: 0.499072 	 R: 0.364858
epoch 2 	 loss: 7.194001 	 F1: 0.472699 	 P: 0.550475 	 R: 0.414180
epoch 3 	 loss: 5.546054 	 F1: 0.518310 	 P: 0.604269 	 R: 0.453761
epoch 4 	 loss: 4.976427 	 F1: 0.529563 	 P: 0.604717 	 R: 0.471023
epoch 5 	 loss: 4.977977 	 F1: 0.537989 	 P: 0.610876 	 R: 0.480641
epoch 6 	 loss: 4.652606 	 F1: 0.543056 	 P: 0.601529 	 R: 0.494945
epoch 7 	 loss: 3.816544 	 F1: 0.544326 	 P: 0.601013 	 R: 0.497411
epoch 8 	 loss: 2.982640 	 F1: 0.544850 	 P: 0.605763 	 R: 0.495068
epoch 9 	 loss: 3.650682 	 F1: 0.554560 	 P: 0.616662 	 R: 0.503822
epoch 10 	 loss: 2.327389 	 F1: 0.550630 	 P: 0.596121 	 R: 0.511591
epoch 11 	 loss: 3.452953 	 F1: 0.543029 	 P: 0.584696 	 R: 0.506905
epoch 12 	 loss: 3.289668 	 F1: 0.549256 	 P: 0.586260 	 R: 0.516646
epoch 13 	 loss: 2.264585 	 F1: 0.546636 	 P: 0.584421 	 R: 0.513440
epoch 14 	 loss: 2.024566 	 F1: 0.557640 	 P: 0.603011 	 R: 0.518619
epoch 15 	 loss: 2.498422 	 F1: 0.560524 	 P: 0.604595 	 R: 0.522441
epoch 16 	 loss: 1.887809 	 F1: 0.545231 	 P: 0.574570 	 R: 0.518742
epoch 17 	 loss: 2.917018 	 F1: 0.549313 	 P: 0.587987 	 R: 0.515413
epoch 18 	 loss: 2.138902 	 F1: 0.552696 	 P: 0.592854 	 R: 0.517633
epoch 19 	 loss: 2.289240 	 F1: 0.557472 	 P: 0.595295 	 R: 0.524168
epoch 20 	 loss: 2.696904 	 F1: 0.553486 	 P: 0.593701 	 R: 0.518372
epoch 21 	 loss: 2.290809 	 F1: 0.545145 	 P: 0.582131 	 R: 0.512577
epoch 22 	 loss: 2.075477 	 F1: 0.553337 	 P: 0.594170 	 R: 0.517756
epoch 23 	 loss: 2.703568 	 F1: 0.548054 	 P: 0.579338 	 R: 0.519975
epoch 24 	 loss: 2.053279 	 F1: 0.559251 	 P: 0.605782 	 R: 0.519359
epoch 25 	 loss: 2.479671 	 F1: 0.553387 	 P: 0.590274 	 R: 0.520838
epoch 26 	 loss: 2.268462 	 F1: 0.550124 	 P: 0.585234 	 R: 0.518989
epoch 27 	 loss: 1.831875 	 F1: 0.554049 	 P: 0.594350 	 R: 0.518866
epoch 28 	 loss: 1.861943 	 F1: 0.554343 	 P: 0.589765 	 R: 0.522935
epoch 29 	 loss: 3.083515 	 F1: 0.548218 	 P: 0.584848 	 R: 0.515906
epoch 30 	 loss: 1.848889 	 F1: 0.549938 	 P: 0.589097 	 R: 0.515660
epoch 31 	 loss: 1.983184 	 F1: 0.553952 	 P: 0.595100 	 R: 0.518126
epoch 32 	 loss: 2.468758 	 F1: 0.550192 	 P: 0.583207 	 R: 0.520715
epoch 33 	 loss: 1.438629 	 F1: 0.557396 	 P: 0.591664 	 R: 0.526880
epoch 34 	 loss: 1.388239 	 F1: 0.557637 	 P: 0.594719 	 R: 0.524908
epoch 35 	 loss: 2.179821 	 F1: 0.559700 	 P: 0.599915 	 R: 0.524538
epoch 36 	 loss: 2.742620 	 F1: 0.556866 	 P: 0.594073 	 R: 0.524044
epoch 37 	 loss: 1.548615 	 F1: 0.549207 	 P: 0.583785 	 R: 0.518496
epoch 38 	 loss: 2.129237 	 F1: 0.551882 	 P: 0.589546 	 R: 0.518742
epoch 39 	 loss: 2.497622 	 F1: 0.552241 	 P: 0.585336 	 R: 0.522688
epoch 40 	 loss: 2.670127 	 F1: 0.554979 	 P: 0.593430 	 R: 0.521208
epoch 41 	 loss: 2.397576 	 F1: 0.552815 	 P: 0.585389 	 R: 0.523674
epoch 42 	 loss: 2.121539 	 F1: 0.553468 	 P: 0.592213 	 R: 0.519482
epoch 43 	 loss: 2.049747 	 F1: 0.563750 	 P: 0.608634 	 R: 0.525031
epoch 44 	 loss: 2.631718 	 F1: 0.551225 	 P: 0.591410 	 R: 0.516153
epoch 45 	 loss: 1.835574 	 F1: 0.556211 	 P: 0.593374 	 R: 0.523428
epoch 46 	 loss: 2.419329 	 F1: 0.557527 	 P: 0.591803 	 R: 0.527004
epoch 47 	 loss: 1.999122 	 F1: 0.557106 	 P: 0.591010 	 R: 0.526880
epoch 48 	 loss: 2.981672 	 F1: 0.549754 	 P: 0.586443 	 R: 0.517386
epoch 49 	 loss: 2.035788 	 F1: 0.551562 	 P: 0.588022 	 R: 0.519359
epoch 50 	 loss: 1.927897 	 F1: 0.560282 	 P: 0.595996 	 R: 0.528607
epoch 51 	 loss: 3.813632 	 F1: 0.546677 	 P: 0.580882 	 R: 0.516276
