config filename: ./config.json
load_embedding!
loading ./data/nyt/seq2seq_re/train.json
data size 56195
loading ./data/nyt/seq2seq_re/test.json
data size 5000
epoch 1 	 loss: 7.595191 	 F1: 0.415035 	 P: 0.498789 	 R: 0.355364
epoch 2 	 loss: 8.608494 	 F1: 0.459928 	 P: 0.549315 	 R: 0.395561
epoch 3 	 loss: 5.840051 	 F1: 0.500072 	 P: 0.598693 	 R: 0.429346
epoch 4 	 loss: 7.773717 	 F1: 0.493736 	 P: 0.570989 	 R: 0.434895
epoch 5 	 loss: 5.433552 	 F1: 0.524727 	 P: 0.613190 	 R: 0.458570
epoch 6 	 loss: 5.393413 	 F1: 0.530394 	 P: 0.629360 	 R: 0.458323
epoch 7 	 loss: 3.941137 	 F1: 0.537341 	 P: 0.626046 	 R: 0.470654
epoch 8 	 loss: 4.117393 	 F1: 0.527055 	 P: 0.611663 	 R: 0.463009
epoch 9 	 loss: 3.901914 	 F1: 0.525985 	 P: 0.589469 	 R: 0.474846
epoch 10 	 loss: 3.814606 	 F1: 0.530397 	 P: 0.586495 	 R: 0.484094
epoch 11 	 loss: 4.527720 	 F1: 0.524382 	 P: 0.579749 	 R: 0.478668
epoch 12 	 loss: 4.198325 	 F1: 0.526534 	 P: 0.574869 	 R: 0.485697
epoch 13 	 loss: 3.417941 	 F1: 0.532027 	 P: 0.588490 	 R: 0.485450
epoch 14 	 loss: 3.403958 	 F1: 0.532705 	 P: 0.586370 	 R: 0.488039
epoch 15 	 loss: 3.605638 	 F1: 0.534062 	 P: 0.589488 	 R: 0.488163
epoch 16 	 loss: 1.899902 	 F1: 0.533262 	 P: 0.582445 	 R: 0.491739
epoch 17 	 loss: 3.048727 	 F1: 0.534752 	 P: 0.580505 	 R: 0.495684
epoch 18 	 loss: 3.074984 	 F1: 0.535367 	 P: 0.582126 	 R: 0.495561
epoch 19 	 loss: 2.790735 	 F1: 0.543053 	 P: 0.591457 	 R: 0.501973
epoch 20 	 loss: 2.866162 	 F1: 0.536644 	 P: 0.584983 	 R: 0.495684
epoch 21 	 loss: 2.706204 	 F1: 0.535557 	 P: 0.583430 	 R: 0.494945
epoch 22 	 loss: 2.773119 	 F1: 0.534896 	 P: 0.577660 	 R: 0.498027
epoch 23 	 loss: 3.007170 	 F1: 0.533994 	 P: 0.583845 	 R: 0.491985
epoch 24 	 loss: 2.649634 	 F1: 0.532010 	 P: 0.578612 	 R: 0.492355
epoch 25 	 loss: 3.497198 	 F1: 0.537507 	 P: 0.581599 	 R: 0.499630
epoch 26 	 loss: 3.458507 	 F1: 0.535193 	 P: 0.579856 	 R: 0.496917
epoch 27 	 loss: 2.416625 	 F1: 0.536318 	 P: 0.585412 	 R: 0.494821
epoch 28 	 loss: 2.959822 	 F1: 0.530079 	 P: 0.569929 	 R: 0.495438
epoch 29 	 loss: 3.124358 	 F1: 0.531473 	 P: 0.572997 	 R: 0.495561
epoch 30 	 loss: 2.926008 	 F1: 0.533298 	 P: 0.577089 	 R: 0.495684
epoch 31 	 loss: 3.387207 	 F1: 0.528737 	 P: 0.567969 	 R: 0.494575
epoch 32 	 loss: 2.019460 	 F1: 0.531364 	 P: 0.574066 	 R: 0.494575
epoch 33 	 loss: 2.394788 	 F1: 0.536140 	 P: 0.583104 	 R: 0.496178
epoch 34 	 loss: 1.985492 	 F1: 0.532009 	 P: 0.579291 	 R: 0.491862
epoch 35 	 loss: 1.917816 	 F1: 0.534673 	 P: 0.580827 	 R: 0.495314
epoch 36 	 loss: 2.589168 	 F1: 0.528404 	 P: 0.569819 	 R: 0.492602
epoch 37 	 loss: 3.480151 	 F1: 0.539907 	 P: 0.587246 	 R: 0.499630
epoch 38 	 loss: 2.605628 	 F1: 0.538487 	 P: 0.585932 	 R: 0.498150
epoch 39 	 loss: 2.335186 	 F1: 0.529802 	 P: 0.567187 	 R: 0.497041
epoch 40 	 loss: 2.136356 	 F1: 0.538267 	 P: 0.585922 	 R: 0.497781
epoch 41 	 loss: 2.507270 	 F1: 0.531659 	 P: 0.576430 	 R: 0.493342
epoch 42 	 loss: 2.738015 	 F1: 0.530671 	 P: 0.567735 	 R: 0.498150
epoch 43 	 loss: 1.843959 	 F1: 0.527674 	 P: 0.565843 	 R: 0.494328
epoch 44 	 loss: 2.898512 	 F1: 0.531488 	 P: 0.574024 	 R: 0.494821
epoch 45 	 loss: 2.864463 	 F1: 0.528961 	 P: 0.570288 	 R: 0.493218
epoch 46 	 loss: 1.960492 	 F1: 0.528091 	 P: 0.566803 	 R: 0.494328
epoch 47 	 loss: 2.797751 	 F1: 0.524697 	 P: 0.567475 	 R: 0.487916
epoch 48 	 loss: 2.555369 	 F1: 0.523324 	 P: 0.561010 	 R: 0.490382
epoch 49 	 loss: 2.968592 	 F1: 0.525849 	 P: 0.567672 	 R: 0.489766
epoch 50 	 loss: 2.605968 	 F1: 0.524472 	 P: 0.560432 	 R: 0.492848
epoch 51 	 loss: 2.185317 	 F1: 0.530894 	 P: 0.574132 	 R: 0.493711
